stock,strike,maturity,spot,vol,div_yield,price,delta,gamma,theta,vega,moneyness
MCD,210.0,0.6,250.0,0.15,0.025,39.5970486862837,0.9233907779879911,0.004178881256245888,-0.0027180724303759655,0.2350620706638312,0.84
MCD,210.0,0.7000000000000001,250.0,0.15,0.025,39.71041664570575,0.9067888269825943,0.004532271466178945,-0.0034494767342868825,0.29743031496799327,0.84
MCD,210.0,0.8,250.0,0.15,0.025,39.84611393612818,0.8913529748512258,0.004770743214325239,-0.0039542885624269525,0.35780574107439295,0.84
MCD,210.0,0.9,250.0,0.15,0.025,39.99711616512971,0.877063555459763,0.004927580877299017,-0.004297078182804309,0.4157646365221045,0.84
MCD,210.0,1.0,250.0,0.15,0.025,40.158387450992336,0.8638413272316825,0.005026081351206211,-0.004523271347965527,0.4711951266755823,0.84
MCD,220.0,0.1,250.0,0.15,0.025,29.827718016230335,0.9941284984465628,0.0008574919691897861,0.0033870984727294284,0.008038987211154246,0.88
MCD,220.0,0.2,250.0,0.15,0.025,29.80863063185268,0.9679870247762506,0.0037165804565529492,-0.002211134903853219,0.0696858835603678,0.88
MCD,220.0,0.30000000000000004,250.0,0.15,0.025,29.962174757934747,0.9357598610243784,0.005544024117185881,-0.0058334209204305605,0.15592567829585294,0.88
MCD,220.0,0.4,250.0,0.15,0.025,30.213506242825986,0.9061465209465448,0.006481232865841194,-0.007726475569191476,0.24304623246904483,0.88
MCD,220.0,0.5,250.0,0.15,0.025,30.514789223209846,0.8804518396051421,0.006933210320119067,-0.00866863814346053,0.3249942337555813,0.88
MCD,220.0,0.6,250.0,0.15,0.025,30.84013726059996,0.8583138669303154,0.007125091465105299,-0.009096259883636352,0.4007863949121731,0.88
MCD,220.0,0.7000000000000001,250.0,0.15,0.025,31.175369411292394,0.8391213720619041,0.0071737081564581815,-0.009237272449880636,0.47077459776756825,0.88
MCD,220.0,0.8,250.0,0.15,0.025,31.512482601019713,0.8223208726179967,0.007141457630850503,-0.009214210010681838,0.5356093223137877,0.88
