spot,time,delta,gamma,theta
85.45454545454545,1.276923076923077,0.35119571334669575,0.015236566102698605,-0.010076859944242395
85.45454545454545,1.314102564102564,0.354978570976427,0.015072162339017344,-0.009975473991673735
85.45454545454545,1.3512820512820514,0.35863748626008085,0.014911909287721506,-0.009876467439928314
85.45454545454545,1.3884615384615384,0.36217959312169123,0.014755676898691828,-0.009779773937425311
85.45454545454545,1.4256410256410257,0.3656114504393045,0.014603335180900534,-0.00968532587308766
85.45454545454545,1.462820512820513,0.36893910050080486,0.014454755385658285,-0.009593055253576488
85.45454545454545,1.5,0.3721681203725425,0.014309810885658648,-0.009502894373169635
86.36363636363636,0.05,0.004857665607659161,0.0029188088840088164,-0.0018750040311510767
86.36363636363636,0.08717948717948718,0.02632750254582566,0.009572334466942816,-0.006171635375279646
86.36363636363636,0.12435897435897436,0.05421116824650148,0.014440580938659514,-0.009340547472487687
86.36363636363636,0.16153846153846152,0.08172006650523075,0.01740225849766904,-0.011289189430441497
86.36363636363636,0.19871794871794873,0.10691832329915382,0.019130716636999702,-0.01244371803903846
86.36363636363636,0.2358974358974359,0.12951526382255313,0.02010629372797683,-0.013110650220612585
86.36363636363636,0.27307692307692305,0.14970235880364785,0.020619016800604947,-0.013475933564549328
86.36363636363636,0.31025641025641026,0.16778261543944478,0.020841913902708707,-0.013650957633302667
86.36363636363636,0.3474358974358974,0.18405504162286732,0.020880212489140012,-0.013703740805933489
86.36363636363636,0.3846153846153846,0.1987823986482263,0.02079954359656309,-0.013676889692634343
86.36363636363636,0.4217948717948718,0.21218640780620404,0.020641853619218456,-0.013597763584844356
86.36363636363636,0.45897435897435895,0.22445151251856438,0.020434535267385184,-0.013484323222371515
86.36363636363636,0.4961538461538461,0.23573067340680717,0.0201958040834953,-0.013348583465797554
86.36363636363636,0.5333333333333333,0.24615100796847558,0.019937951075561604,-0.013198707304860367
86.36363636363636,0.5705128205128206,0.25581863981569575,0.019669361917988046,-0.013040309107106424
86.36363636363636,0.6076923076923078,0.26482267207696425,0.019395800559113975,-0.01287728527630967
86.36363636363636,0.6448717948717949,0.27323837820435876,0.01912124292038833,-0.01271235525279958
86.36363636363636,0.6820512820512821,0.2811297453652961,0.018848428914020953,-0.012547420774598061
86.36363636363636,0.7192307692307692,0.2885514997152585,0.018579234294735677,-0.012383808640600319
86.36363636363636,0.7564102564102565,0.29555072295604784,0.01831492501492944,-0.012222437324824984
86.36363636363636,0.7935897435897437,0.3021681481382293,0.018056333591144925,-0.012063932925470375
86.36363636363636,0.8307692307692308,0.3084392037864797,0.017803982872204936,-0.011908710857269031
86.36363636363636,0.867948717948718,0.31439486004168754,0.0175581738165728,-0.011757034040735137
86.36363636363636,0.9051282051282051,0.32006231841297633,0.017319048318438033,-0.011609054751020005
86.36363636363636,0.9423076923076923,0.32546557737440424,0.017086634529994277,-0.011464844968726275
86.36363636363636,0.9794871794871796,0.33062589885658256,0.016860879772585,-0.011324418551300928
86.36363636363636,1.0166666666666666,0.3355621951793914,0.016641674562630437,-0.011187747528027524
86.36363636363636,1.0538461538461539,0.34029135175102154,0.016428870221433564,-0.01105477413534275
86.36363636363636,1.0910256410256411,0.34482849761235934,0.016222291816037793,-0.01092541973949372
86.36363636363636,1.1282051282051282,0.3491872333991541,0.016021747679343362,-0.01079959146826472
86.36363636363636,1.1653846153846155,0.3533798243499063,0.015827036409064653,-0.01067718714575313
86.36363636363636,1.2025641025641025,0.3574173644713155,0.015637951999068644,-0.010558098963089615
86.36363636363636,1.2397435897435898,0.36130991678483293,0.015454287581365727,-0.010442216202985162
86.36363636363636,1.276923076923077,0.36506663364153497,0.01527583813108835,-0.010329427253147276
