scenario,spot,strike,maturity,vol,price,delta,gamma,theta,vega,moneyness
Declining_40pct,60,100,0.1,0.35,3.6719666549085022e-06,2.7869471367347742e-06,1.9911916346289186e-06,-1.211859322374411e-06,2.5089014596324373e-06,1.6666666666666667
Declining_40pct,60,100,0.25,0.35,0.00754454550250358,0.0025320161977297473,0.0007476855400885453,-0.00045959504141575297,0.0023552094512789175,1.6666666666666667
Declining_40pct,60,100,0.5,0.35,0.1510666550849591,0.02872329093606618,0.004419660058605807,-0.0027561141340935904,0.027843858369216587,1.6666666666666667
Declining_40pct,60,100,1.0,0.35,0.9685569126410858,0.10984385869496222,0.008944951926556857,-0.005711790115032656,0.11270639427461639,1.6666666666666667
Declining_40pct,60,110,0.1,0.35,3.7182275624048996e-08,3.275405002778342e-08,2.7508316702101165e-08,-1.6723685061189498e-08,3.4660479044647475e-08,1.8333333333333333
Declining_40pct,60,110,0.25,0.35,0.0010681273377020663,0.0004076291368667051,0.00014006575400662483,-8.589668815327883e-05,0.00044120712512086825,1.8333333333333333
Declining_40pct,60,110,0.5,0.35,0.052672427473426375,0.01115615855754759,0.001974342632616729,-0.0012265109375659653,0.012438358585485395,1.8333333333333333
Declining_40pct,60,110,1.0,0.35,0.5412291417490991,0.06684947003072916,0.0061705234244049945,-0.0039177950583101214,0.07774859514750293,1.8333333333333333
Declining_40pct,60,120,0.1,0.35,3.0420124104309583e-10,3.0229496683631396e-10,2.887529719906259e-10,-1.754156171488102e-10,3.6382874470818874e-10,2.0
Declining_40pct,60,120,0.25,0.35,0.00014210060518704288,6.033287822648781e-05,2.3431238641701875e-05,-1.4345604280173445e-05,7.380840172136091e-05,2.0
Declining_40pct,60,120,0.5,0.35,0.018038208676458306,0.004187226685497536,0.0008311627781697805,-0.0005148912340698752,0.005236325502469618,2.0
Declining_40pct,60,120,1.0,0.35,0.30227034113277185,0.04020797994702746,0.004120839571224336,-0.002605066560462311,0.05192257859742663,2.0
Declining_60pct,40,80,0.1,0.45,9.150529994509453e-07,8.518090908737896e-07,7.451706609825294e-07,-3.3255011860788977e-07,5.365228759074213e-07,2.0
Declining_60pct,40,80,0.25,0.45,0.003919494857080985,0.0016099163336063538,0.0005782984168922958,-0.0002599832512501243,0.0010409371504061325,2.0
Declining_60pct,40,80,0.5,0.45,0.10064884218768344,0.023415499772795056,0.00434616390858372,-0.0019747889757946438,0.01564619007090139,2.0
Declining_60pct,40,80,1.0,0.45,0.7320632155491817,0.10188520453892508,0.009883568853907941,-0.004569876859323954,0.07116169574813717,2.0
Declining_60pct,40,90,0.1,0.45,9.284296575659533e-09,9.917693555294704e-09,1.0073871021005702e-08,-4.4923714364812226e-09,7.253187135124105e-09,2.25
Declining_60pct,40,90,0.25,0.45,0.0005636144226112139,0.00026079938476986086,0.00010787114193022553,-4.841778688235671e-05,0.00019416805547440595,2.25
Declining_60pct,40,90,0.5,0.45,0.03572615095520604,0.009187296749665563,0.0019444506198042532,-0.0008811953829833352,0.0070000222312953135,2.25
Declining_60pct,40,90,1.0,0.45,0.4161901344058494,0.06268442221502396,0.006848151853492403,-0.0031540392749306065,0.0493066933451453,2.25
Declining_60pct,40,100,0.1,0.45,8.805906223782564e-11,1.0501005620611181e-10,1.199927417319719e-10,-5.348238636794407e-11,8.639477404701978e-11,2.5
Declining_60pct,40,100,0.25,0.45,8.063786721194152e-05,4.113642918879279e-05,1.904265567259456e-05,-8.537552342375654e-06,3.427678021067021e-05,2.5
Declining_60pct,40,100,0.5,0.45,0.012810649126808321,0.003582269533133231,0.0008431542617666908,-0.00038137148780869684,0.0030353553423600878,2.5
Declining_60pct,40,100,1.0,0.45,0.23976866056823076,0.03863445119217568,0.004654011416408082,-0.002137156266302699,0.03350888219813819,2.5
Declining_60pct,40,110,0.1,0.45,8.309836052761047e-13,1.0811351813799774e-12,1.3600472876302419e-12,-6.059615042988978e-13,9.792340470937742e-13,2.75
Declining_60pct,40,110,0.25,0.45,1.1677914370918584e-05,6.465134321009813e-06,3.283657355055562e-06,-1.470934358050385e-06,5.910583239100012e-06,2.75
Declining_60pct,40,110,0.5,0.45,0.004665302720299275,0.0014011610639082517,0.00036025867975582484,-0.0001627110381292171,0.0012969312471209696,2.75
Declining_60pct,40,110,1.0,0.45,0.1400800904754108,0.023932919750521697,0.003130209503101824,-0.0014340785575161774,0.022537508422333135,2.75
Declining_60pct,40,120,0.1,0.45,5.33261938576952e-15,1.1268763699945339e-14,1.5390197605863133e-14,-6.8551243033481324e-15,1.1080942276221455e-14,3.0
Declining_60pct,40,120,0.25,0.45,1.7300910200082744e-06,1.0271949514306655e-06,5.641697525873755e-07,-2.525552166024636e-07,1.015505554657276e-06,3.0
Declining_60pct,40,120,0.5,0.45,0.0017307696846218974,0.000552990929659436,0.0001532687719926431,-6.914333811737889e-05,0.0005517675791735152,3.0
Declining_60pct,40,120,1.0,0.45,0.08300632377387851,0.014930992269961918,0.0020955897228811127,-0.000958274527252691,0.015088246004744012,3.0
